Timestamp,Agent_SOL,Tier1_Micro,Tier2_Medium,Tier3_Big
2026-07-16 20:30:07,41918.0,0.02476199816646821,0.0663113916862426,0.13727704875995156
2026-07-16 20:33:50,41918.0,0.025347108564263497,0.06683656582919714,0.136997128531038
2026-07-16 20:33:57,41918.0,0.024192300391676236,0.06655252408717273,0.13750055285351687
2026-07-16 20:34:12,41918.0,0.02417045878605207,0.06708793077014123,0.1361796929041172
2026-07-16 20:34:14,41918.0,0.025034950970790636,0.06687530529001921,0.13590125830505073
2026-07-16 20:34:15,41918.0,0.02440406164306473,0.06716091263901774,0.1370380799195561
2026-07-16 20:34:17,41918.0,0.02434215019144284,0.06567048362106324,0.13661351503201516
2026-07-16 20:34:20,41918.0,0.02497433455073546,0.06566713203965362,0.1374906832629858
2026-07-16 20:34:21,41918.0,0.023793235371147647,0.0658458893313087,0.1362299584427321
2026-07-16 20:35:02,41918.0,0.0243029274480365,0.06594312526480403,0.1361484148464584
2026-07-16 20:35:06,41918.0,0.025136863268719393,0.0667265904210141,0.13657570831637944
2026-07-16 20:36:39,41918.0,0.023810712597929575,0.06559565610708508,0.13610198913079835
2026-07-16 21:18:32,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,385.88725543633825,1.121069173,0.0002614609975462312,0.005696318029329656,0.4734573106588219
2026-07-16 21:19:43,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,389.87896897513457,1.136871641,0.04065425300011143,0.8857135729871771,0.8874495676986383
2026-07-16 21:20:33,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,463.27537440826774,1.321613282,0.014275959998308586,0.3110230936450672,0.6259462030789015
2026-07-16 21:21:51,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,471.50415879646573,1.3521318,0.0034630169964484023,0.07544699338667543,0.4857037984542558
2026-07-16 21:22:26,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,488.0701842682272,1.412773775,0.004736249997801506,0.10318627446190644,0.5152338423766158
2026-07-16 21:23:03,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,493.8291017070464,1.43361328,0.025920847995169742,0.5647243571932405,0.7553325297854434
2026-07-16 21:24:03,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,362.4460278234143,1.094133657,0.03574647999764288,0.7787904138920018,0.8503725386712535
2026-07-16 21:24:04,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,350.0617889293404,1.061309649,0.02558604899602796,0.5574302613513716,0.7369279329906284
2026-07-16 21:24:06,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,331.4340277806684,1.011534228,0.013726257995363311,0.2990470151495275,0.6389027228459836
2026-07-16 21:24:11,HKbcdZdHzAe1YZj3B2yjikNdQKEdE6QpyHHMHULhpump,211.9051294253475,0.677626781,0.0382871449986924,0.8341425925641045,0.8591804987125685
